key	first_author	year	arxiv_id_version	doi	short_title	status	cited_in
Gao2017	Gao	2017	1608.05687v3	10.1007/JHEP12(2017)151	Traversable wormholes via a double trace deformation	verified-fulltext	design_strategy;synthesis
GAO2020	U.S. Government Accountability Office	2020			GAO technology readiness assessment guide	verified-abstract	engineering_methods
Garattini2019	Garattini	2019	1907.03623v1	10.1140/epjc/s10052-019-7468-y	Casimir wormholes	verified-fulltext	design_strategy
Garattini2023	Garattini	2023	2311.06757v2		Black holes and warp drive (precursor)	verified-abstract	design_strategy
Garattini2024a	Garattini	2024	2401.15136v2	10.1088/1475-7516/2024/08/061	On the wormhole-warp drive correspondence	verified-abstract	design_strategy
Garattini2024b	Garattini	2024	2408.04495v4	10.1016/j.physletb.2024.138910	Black holes, warp drives, and energy conditions	verified-abstract	design_strategy
Garattini2025	Garattini	2025	2502.13153v4		Warp drive in a de Sitter universe	verified-abstract	design_strategy
Garcia2012	Garcia	2012	1112.2057v3	10.1103/PhysRevD.86.044026	Generic dynamic thin-shell traversable wormholes	verified-fulltext	design_strategy
Gergely2026	Gergely	2026	2608.15228v1	10.1103/wgtj-h9bd	Hawking-Ellis classification of the kinetic gravity braiding stress tensor	verified-abstract	foundations;design_strategy;P01_vetting;synthesis
Geroch1967	Geroch	1967		10.1063/1.1705276	Topology in general relativity	metadata-only	foundations;synthesis
Gibbons1977	Gibbons	1977		10.1103/PhysRevD.15.2738	Cosmological event horizons and particle creation	verified-abstract	foundations
Gonzalez2009a	González	2009	0806.0608v2	10.1088/0264-9381/26/1/015010	Instability of ghost-supported wormholes I: linear	verified-fulltext	design_strategy
Gonzalez2009b	González	2009	0806.1370v2	10.1088/0264-9381/26/1/015011	Instability of ghost-supported wormholes II: nonlinear	verified-fulltext	design_strategy
GonzalezDiaz2000	González-Díaz	2000	gr-qc/9907026v2	10.1103/PhysRevD.62.044005	Warp drive space-time	verified-abstract	design_strategy
Gordon1923	Gordon	1923		10.1002/andp.19233772202	Zur Lichtfortpflanzung nach der Relativitaetstheorie	metadata-only	engineering_methods
Gourgoulhon2007	Gourgoulhon	2007	gr-qc/0703035v1		3+1 formalism and bases of numerical relativity (notes)	verified-abstract	foundations
Gourgoulhon2012	Gourgoulhon	2012		10.1007/978-3-642-24525-1	3+1 formalism in general relativity (book)	metadata-only	foundations
Graham2005	Graham	2005	hep-th/0506136v2	10.1103/PhysRevD.72.025013	Plate with a hole obeys ANEC	verified-abstract	design_strategy
Graham2007	Graham	2007	0705.3193v2	10.1103/PhysRevD.76.064001	Achronal averaged null energy condition	verified-fulltext	foundations;design_strategy;P01_vetting;synthesis
Gundlach2005	Gundlach	2005		10.1088/0264-9381/22/17/025	Constraint damping in the Z4 formulation	unverified	engineering_methods
Gurses2020	Gürses	2020	2004.03390v3	10.1140/epjc/s10052-020-8200-7	Is there a novel EGB theory in four dimensions?	verified-abstract	design_strategy
Hannam2009	Hannam	2009	0901.2437v3	10.1103/PhysRevD.79.084025	The Samurai project	verified-abstract	engineering_methods
Hartman2017	Hartman	2017	1610.05308v1	10.1007/JHEP07(2017)066	Averaged null energy condition from causality	verified-fulltext	foundations;design_strategy;P01_vetting
Hashemi2010	Hashemi	2010	1003.5934v3	10.1103/PhysRevLett.104.253903	Delay-bandwidth and delay-loss limits for cloaking	verified-fulltext	engineering_methods
Hawking1973	Hawking	1973		10.1017/CBO9780511524646	The large scale structure of space-time	metadata-only	foundations;design_strategy
Hawking1975	Hawking	1975		10.1007/BF02345020	Particle creation by black holes	verified-abstract	foundations
Hawking1992	Hawking	1992		10.1103/PhysRevD.46.603	Chronology protection conjecture	verified-fulltext	foundations;design_strategy;synthesis
Helmerich2023	Helmerich	2023	2404.10855v1	10.2514/6.2023-0553	Warp Factory: numerical toolkit (AIAA SciTech 2023)	verified-abstract	design_strategy
Helmerich2024	Helmerich	2024	2404.03095v2	10.1088/1361-6382/ad2e42	Analyzing warp drive spacetimes with Warp Factory	verified-fulltext	foundations;design_strategy;engineering_methods;P01_vetting;synthesis
Hinder2014	Hinder	2014	1307.5307v3	10.1088/0264-9381/31/2/025012	Error analysis of NRAR numerical waveforms	verified-abstract	engineering_methods
Hiscock1997	Hiscock	1997	gr-qc/9707024v1	10.1088/0264-9381/14/11/002	Quantum effects in the Alcubierre warp-drive spacetime	verified-abstract	foundations;design_strategy
Hochberg1997a	Hochberg	1997	gr-qc/9701064v1	10.1103/PhysRevLett.78.2050	Self-consistent wormhole solutions of semiclassical gravity	verified-fulltext	design_strategy
Hochberg1997b	Hochberg	1997	gr-qc/9704082v1	10.1103/PhysRevD.56.4745	Geometric structure of the generic static wormhole throat	verified-fulltext	design_strategy;synthesis
Hochberg1998a	Hochberg	1998	gr-qc/9802048v3	10.1103/PhysRevLett.81.746	The null energy condition in dynamic wormholes	verified-fulltext	design_strategy
Hochberg1998b	Hochberg	1998	gr-qc/9802046v2	10.1103/PhysRevD.58.044021	Dynamic wormholes, anti-trapped surfaces, and energy conditions	verified-abstract	design_strategy
Hollands2015	Hollands	2015	1401.2026v2	10.1016/j.physrep.2015.02.001	Quantum fields in curved spacetime (review)	verified-abstract	foundations
Hord1985	Hord	1985			CRC handbook of space technology	unverified	engineering_methods
Horndeski1974	Horndeski	1974		10.1007/BF01807638	Second-order scalar-tensor field equations in 4D	verified-abstract	foundations
Hu2008	Hu	2008	0802.0658v1	10.12942/lrr-2008-3	Stochastic gravity: theory and applications	verified-abstract	foundations
Huey2024	Huey	2024	2311.07193v3	10.1088/1361-6382/ad4e00	Membrane models: superluminal warp drive satisfying the WEC	verified-abstract	design_strategy
Ijjas2017	Ijjas	2017	1609.01253v5	10.1016/j.physletb.2016.11.047	Fully stable cosmological solutions with a nonsingular bounce	verified-abstract	foundations
Ishibashi2019	Ishibashi	2019	1903.11806v1	10.1103/PhysRevD.100.066008	Achronal ANEC, weak cosmic censorship, AdS/CFT	verified-abstract	foundations;P01_vetting
Jensen2011	Jensen	2011		10.1002/lpor.201000014	Topology optimization for nano-photonics	unverified	engineering_methods
Jones2017	Jones	2017			Axiomatic design of space life support systems	verified-fulltext	engineering_methods
Jusufi2026	Jusufi	2026	2609.05554v1		Quantum-gravity-inspired Alcubierre warp-drive geometries	verified-abstract	design_strategy
Kain2023a	Kain	2023	2305.11217v2	10.1103/PhysRevD.108.044019	Are Einstein-Dirac-Maxwell wormholes traversable?	verified-fulltext	design_strategy
Kain2023b	Kain	2023	2308.00049v2	10.1103/PhysRevD.108.084010	Einstein-Dirac-Maxwell wormholes in QFT	verified-abstract	design_strategy
Kanai2026	Kanai	2026	2511.21017v1	10.1103/dsnv-gq47	Wormholes as perturbations of near-horizon geometries: no-go	verified-abstract	design_strategy
Kanti2011	Kanti	2011	1108.3003v2	10.1103/PhysRevLett.107.271101	Wormholes in dilatonic Einstein-Gauss-Bonnet theory	verified-abstract	design_strategy
Kanti2012	Kanti	2012	1111.4049v3	10.1103/PhysRevD.85.044007	Stable Lorentzian wormholes in dilatonic EGB theory	verified-fulltext	design_strategy
Kar2004	Kar	2004	gr-qc/0405103v1	10.1007/BF02705207	Quantifying energy condition violations in wormholes	verified-fulltext	design_strategy
Kay1997	Kay	1997	gr-qc/9603012v2	10.1007/s002200050042	QFT on spacetimes with a compactly generated Cauchy horizon	verified-abstract	foundations
Khoo2024	Khoo	2024	2401.02898v2	10.1103/PhysRevD.109.084013	QNMs of rapidly rotating Ellis-Bronnikov wormholes	verified-abstract	design_strategy
Kildishev2008	Kildishev	2008		10.1088/1367-2630/10/11/115029	Transformation optics: approaching broadband cloaking	unverified	engineering_methods
Kim1991	Kim	1991		10.1103/PhysRevD.43.3929	Do vacuum fluctuations prevent creation of CTCs?	verified-abstract	foundations;design_strategy
Klinkhammer1991	Klinkhammer	1991		10.1103/PhysRevD.43.2542	Averaged energy conditions for free scalar fields	verified-abstract	foundations
Kobayashi2016	Kobayashi	2016	1606.05831v2	10.1103/PhysRevD.94.043511	Generic instabilities of nonsingular cosmologies in Horndeski	verified-abstract	foundations
